rank,brand,route,review,monetization_path,countries,categories,official_urls,first_email_angle,human_gate
1,HelloFresh,/go/hellofresh/,/reviews/hellofresh/,affiliate application,US | Global | New Zealand | Germany | France | Netherlands | sweden | denmark | norway | belgium | switzerland | austria | new-zealand,meal kit,https://www.hellofresh.com/ | https://www.hellofresh.co.nz/ | https://www.hellofresh.de/ | https://www.hellofresh.fr/ | https://www.hellofresh.nl/ | https://www.hellofresh.se/ | https://www.hellofresh.dk/ | https://www.hellofresh.no/ | https://www.hellofresh.be/ | https://www.hellofresh.ch/ | https://www.hellofresh.at/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to HelloFresh.,"Requires live domain, analytics, and user approval before sending"
2,Marley Spoon,/go/marley-spoon/,/reviews/marley-spoon/,affiliate application,US | Global | Germany | Netherlands | belgium | austria,meal kit | meal kit and prepared meals,https://marleyspoon.com/ | https://marleyspoon.de/ | https://marleyspoon.nl/ | https://marleyspoon.be/ | https://marleyspoon.at/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Marley Spoon.,"Requires live domain, analytics, and user approval before sending"
3,Chefs Plate,/go/chefs-plate/,/reviews/chefs-plate/,affiliate application,Canada,meal kit,https://www.chefsplate.com/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Chefs Plate.,"Requires live domain, analytics, and user approval before sending"
4,CookUnity,/go/cookunity/,/reviews/cookunity/,affiliate application,US,prepared meals,https://www.cookunity.com/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to CookUnity.,"Requires live domain, analytics, and user approval before sending"
5,Factor,/go/factor/,/reviews/factor/,affiliate application,US | Global | Germany | Netherlands | sweden | belgium,prepared meals,https://www.factor75.com/ | https://www.factormeals.de/?locale=en-DE | https://www.factormeals.nl/kant-en-klare-maaltijden?locale=en-NL | https://www.factormeals.se/fardigratter?locale=en-SE | https://www.factormeals.be/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Factor.,"Requires live domain, analytics, and user approval before sending"
6,Gousto,/go/gousto/,/reviews/gousto/,affiliate application,UK,meal kit,https://www.gousto.co.uk/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Gousto.,"Requires live domain, analytics, and user approval before sending"
7,HelloFresh Australia,/go/hellofresh-australia/,/reviews/hellofresh-australia/,affiliate application,Australia,meal kit,https://www.hellofresh.com.au/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to HelloFresh Australia.,"Requires live domain, analytics, and user approval before sending"
8,HelloFresh Canada,/go/hellofresh-canada/,/reviews/hellofresh-canada/,affiliate application,Canada,meal kit,https://www.hellofresh.ca/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to HelloFresh Canada.,"Requires live domain, analytics, and user approval before sending"
9,HelloFresh UK,/go/hellofresh-uk/,/reviews/hellofresh-uk/,affiliate application,UK,meal kit,https://www.hellofresh.co.uk/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to HelloFresh UK.,"Requires live domain, analytics, and user approval before sending"
10,Aarstiderne,/go/aarstiderne/,/reviews/aarstiderne/,direct partnership outreach,denmark,organic meal kit,https://www.aarstiderne.com/,Dinner Compare is building country/category comparison pages for organic meal kit shoppers and can route high-intent buyers to Aarstiderne.,"Requires live domain, analytics, and user approval before sending"
11,Calo,/go/calo/,/reviews/calo/,direct partnership outreach,uae,prepared meals,https://calo.app/en,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Calo.,"Requires live domain, analytics, and user approval before sending"
12,Calori,/go/calori/,/reviews/calori/,direct partnership outreach,finland,prepared meals,https://calori.fi/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Calori.,"Requires live domain, analytics, and user approval before sending"
13,EatFit,/go/eatfit/,/reviews/eatfit/,direct partnership outreach,india,healthy meal delivery,https://www.eatfit.in/,Dinner Compare is building country/category comparison pages for healthy meal delivery shoppers and can route high-intent buyers to EatFit.,"Requires live domain, analytics, and user approval before sending"
14,FitChef,/go/fitchef/,/reviews/fitchef/,direct partnership outreach,south-africa,prepared meals,https://orders.fitchef.co.za/customer/menu/meals,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to FitChef.,"Requires live domain, analytics, and user approval before sending"
15,Fitfood,/go/fitfood/,/reviews/fitfood/,direct partnership outreach,New Zealand | new-zealand,prepared meals,https://www.fitfood.co.nz/ | https://www.fitfood.nz/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Fitfood.,"Requires live domain, analytics, and user approval before sending"
16,Food Darzee,/go/food-darzee/,/reviews/food-darzee/,direct partnership outreach,india,diet prepared meals,https://fooddarzee.com/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Food Darzee.,"Requires live domain, analytics, and user approval before sending"
17,Foodbag,/go/foodbag/,/reviews/foodbag/,direct partnership outreach,belgium,meal kit and ready meals,https://www.foodbag.be/,Dinner Compare is building country/category comparison pages for meal kit and ready meals shoppers and can route high-intent buyers to Foodbag.,"Requires live domain, analytics, and user approval before sending"
18,Frozen For You,/go/frozen-for-you/,/reviews/frozen-for-you/,direct partnership outreach,south-africa,frozen meals,https://www.frozenforyou.co.za/,Dinner Compare is building country/category comparison pages for frozen meals shoppers and can route high-intent buyers to Frozen For You.,"Requires live domain, analytics, and user approval before sending"
19,Godtlevert,/go/godtlevert/,/reviews/godtlevert/,direct partnership outreach,norway,meal kit,https://www.godtlevert.no/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Godtlevert.,"Requires live domain, analytics, and user approval before sending"
20,Gourmet Fuel,/go/gourmet-fuel/,/reviews/gourmet-fuel/,direct partnership outreach,Ireland,prepared meals,https://gourmetfuel.com/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Gourmet Fuel.,"Requires live domain, analytics, and user approval before sending"
21,Grain,/go/grain/,/reviews/grain/,direct partnership outreach,singapore,prepared meals,https://grain.com.sg/eat,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Grain.,"Requires live domain, analytics, and user approval before sending"
22,Kcal Life,/go/kcal-life/,/reviews/kcal-life/,direct partnership outreach,uae,prepared meals,https://kcallife.com/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Kcal Life.,"Requires live domain, analytics, and user approval before sending"
23,Linas Matkasse,/go/linas-matkasse/,/reviews/linas-matkasse/,direct partnership outreach,sweden,meal kit,https://www.linasmatkasse.se/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Linas Matkasse.,"Requires live domain, analytics, and user approval before sending"
24,MenuDiet,/go/menudiet/,/reviews/menudiet/,direct partnership outreach,spain,prepared meals,https://www.menudiet.es/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to MenuDiet.,"Requires live domain, analytics, and user approval before sending"
25,NOSH,/go/nosh/,/reviews/nosh/,direct partnership outreach,hong-kong,prepared meals,https://www.nosh.hk/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to NOSH.,"Requires live domain, analytics, and user approval before sending"
26,Nutribees,/go/nutribees/,/reviews/nutribees/,direct partnership outreach,italy,prepared meals,https://www.nutribees.com/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Nutribees.,"Requires live domain, analytics, and user approval before sending"
27,Nutrition Kitchen,/go/nutrition-kitchen/,/reviews/nutrition-kitchen/,direct partnership outreach,singapore | hong-kong,prepared meals,https://nutritionkitchensg.com/ | https://nutritionkitchenhk.com/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Nutrition Kitchen.,"Requires live domain, analytics, and user approval before sending"
28,Right Bite,/go/right-bite/,/reviews/right-bite/,direct partnership outreach,uae,prepared meals,https://rightbite.com/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Right Bite.,"Requires live domain, analytics, and user approval before sending"
29,UCOOK,/go/ucook/,/reviews/ucook/,direct partnership outreach,south-africa,meal kit,https://ucook.co.za/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to UCOOK.,"Requires live domain, analytics, and user approval before sending"
30,Weekly Food,/go/weekly-food/,/reviews/weekly-food/,direct partnership outreach,switzerland,prepared meals,https://weekly-food.ch/en/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Weekly Food.,"Requires live domain, analytics, and user approval before sending"
31,Wetaca,/go/wetaca/,/reviews/wetaca/,direct partnership outreach,spain,prepared meals,https://wetaca.com/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Wetaca.,"Requires live domain, analytics, and user approval before sending"
32,WOOP,/go/woop/,/reviews/woop/,direct partnership outreach,New Zealand | new-zealand,premium meal kit | meal kit,https://woop.co.nz/,Dinner Compare is building country/category comparison pages for premium meal kit shoppers and can route high-intent buyers to WOOP.,"Requires live domain, analytics, and user approval before sending"
33,Dinnerly,/go/dinnerly/,/reviews/dinnerly/,affiliate application,US | Global,budget meal kit,https://dinnerly.com/,Dinner Compare is building country/category comparison pages for budget meal kit shoppers and can route high-intent buyers to Dinnerly.,"Requires live domain, analytics, and user approval before sending"
34,EveryPlate,/go/everyplate/,/reviews/everyplate/,affiliate application,US | Global,budget meal kit,https://www.everyplate.com/,Dinner Compare is building country/category comparison pages for budget meal kit shoppers and can route high-intent buyers to EveryPlate.,"Requires live domain, analytics, and user approval before sending"
35,Factor Canada,/go/factor-canada/,/reviews/factor-canada/,affiliate application,Canada,prepared meals,https://www.factor75.com/pages/canada,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Factor Canada.,"Requires live domain, analytics, and user approval before sending"
36,Factor Meals Canada,/go/factor-meals-canada/,/reviews/factor-meals-canada/,affiliate application,Canada,prepared meals,https://www.factormeals.ca/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Factor Meals Canada.,"Requires live domain, analytics, and user approval before sending"
37,Green Chef UK,/go/green-chef-uk/,/reviews/green-chef-uk/,affiliate application,UK,meal kit,https://www.greenchef.co.uk/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Green Chef UK.,"Requires live domain, analytics, and user approval before sending"
38,HelloFresh Denmark,/go/hellofresh-denmark/,/reviews/hellofresh-denmark/,affiliate application,Denmark,meal kit,https://www.hellofresh.dk/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to HelloFresh Denmark.,"Requires live domain, analytics, and user approval before sending"
39,HelloFresh Norway,/go/hellofresh-norway/,/reviews/hellofresh-norway/,affiliate application,Norway,meal kit,https://www.hellofresh.no/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to HelloFresh Norway.,"Requires live domain, analytics, and user approval before sending"
40,Home Chef,/go/home-chef/,/reviews/home-chef/,affiliate application,US,meal kit,https://www.homechef.com/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Home Chef.,"Requires live domain, analytics, and user approval before sending"
41,Tempo by Home Chef,/go/tempo-by-home-chef/,/reviews/tempo-by-home-chef/,affiliate application,US,prepared meals,https://www.homechef.com/tempo,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Tempo by Home Chef.,"Requires live domain, analytics, and user approval before sending"
42,28Ishrana,/go/28ishrana/,/reviews/28ishrana/,direct partnership outreach,Serbia,diet prepared meals,https://28ishrana.rs/en/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to 28Ishrana.,"Requires live domain, analytics, and user approval before sending"
43,ACTIVeat,/go/activeat/,/reviews/activeat/,direct partnership outreach,india,diet prepared meals,https://activeat.in/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to ACTIVeat.,"Requires live domain, analytics, and user approval before sending"
44,Allcook Kitchen,/go/allcook-kitchen/,/reviews/allcook-kitchen/,direct partnership outreach,switzerland,prepared meals,https://allcook.ch/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Allcook Kitchen.,"Requires live domain, analytics, and user approval before sending"
45,AMGD,/go/amgd/,/reviews/amgd/,direct partnership outreach,singapore,healthy meal delivery,https://www.amgdglobal.com/en-sg,Dinner Compare is building country/category comparison pages for healthy meal delivery shoppers and can route high-intent buyers to AMGD.,"Requires live domain, analytics, and user approval before sending"
46,Athlete's Kitchen,/go/athlete-s-kitchen/,/reviews/athlete-s-kitchen/,direct partnership outreach,Canada,high protein meal prep,https://athleteskitchen.ca/,Dinner Compare is building country/category comparison pages for high protein meal prep shoppers and can route high-intent buyers to Athlete's Kitchen.,"Requires live domain, analytics, and user approval before sending"
47,Bargain Box,/go/bargain-box/,/reviews/bargain-box/,direct partnership outreach,New Zealand | new-zealand,budget meal kit | meal kit,https://www.bargainbox.co.nz/,Dinner Compare is building country/category comparison pages for budget meal kit shoppers and can route high-intent buyers to Bargain Box.,"Requires live domain, analytics, and user approval before sending"
48,Basiligo,/go/basiligo/,/reviews/basiligo/,direct partnership outreach,UAE,diet prepared meals,https://basiligo.ae/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Basiligo.,"Requires live domain, analytics, and user approval before sending"
49,Benefit Qatar,/go/benefit-qatar/,/reviews/benefit-qatar/,direct partnership outreach,Qatar,diet prepared meals,https://benefit.qa/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Benefit Qatar.,"Requires live domain, analytics, and user approval before sending"
50,Body Chief,/go/body-chief/,/reviews/body-chief/,direct partnership outreach,Poland,diet prepared meals,https://bodychief.pl/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Body Chief.,"Requires live domain, analytics, and user approval before sending"
51,Bofrost,/go/bofrost/,/reviews/bofrost/,direct partnership outreach,germany,frozen meals,https://www.bofrost.de/,Dinner Compare is building country/category comparison pages for frozen meals shoppers and can route high-intent buyers to Bofrost.,"Requires live domain, analytics, and user approval before sending"
52,Calo Bahrain,/go/calo-bahrain/,/reviews/calo-bahrain/,direct partnership outreach,Bahrain,prepared meals,https://calo.app/en-bh,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Calo Bahrain.,"Requires live domain, analytics, and user approval before sending"
53,Calo Kuwait,/go/calo-kuwait/,/reviews/calo-kuwait/,direct partnership outreach,Kuwait,prepared meals,https://calo.app/en-kw,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Calo Kuwait.,"Requires live domain, analytics, and user approval before sending"
54,Calo Oman,/go/calo-oman/,/reviews/calo-oman/,direct partnership outreach,Oman,prepared meals,https://calo.app/en,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Calo Oman.,"Requires live domain, analytics, and user approval before sending"
55,Calo Qatar,/go/calo-qatar/,/reviews/calo-qatar/,direct partnership outreach,Qatar,prepared meals,https://calo.app/en,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Calo Qatar.,"Requires live domain, analytics, and user approval before sending"
56,Calo Saudi Arabia,/go/calo-saudi-arabia/,/reviews/calo-saudi-arabia/,direct partnership outreach,Saudi Arabia,prepared meals,https://calo.app/en,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Calo Saudi Arabia.,"Requires live domain, analytics, and user approval before sending"
57,Calo UK,/go/calo-uk/,/reviews/calo-uk/,direct partnership outreach,UK,prepared meals,https://calo.app/en,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Calo UK.,"Requires live domain, analytics, and user approval before sending"
58,Chefgood,/go/chefgood/,/reviews/chefgood/,direct partnership outreach,Australia,prepared meals,https://chefgood.com.au/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Chefgood.,"Requires live domain, analytics, and user approval before sending"
59,Clean Cut Meals,/go/clean-cut-meals/,/reviews/clean-cut-meals/,direct partnership outreach,Ireland,high protein meal prep,https://cleancutmeals.ie/,Dinner Compare is building country/category comparison pages for high protein meal prep shoppers and can route high-intent buyers to Clean Cut Meals.,"Requires live domain, analytics, and user approval before sending"
60,Clean Eatz Kitchen,/go/clean-eatz-kitchen/,/reviews/clean-eatz-kitchen/,direct partnership outreach,US,prepared meals,https://www.cleaneatzkitchen.com/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Clean Eatz Kitchen.,"Requires live domain, analytics, and user approval before sending"
61,Comme J'aime,/go/comme-j-aime/,/reviews/comme-j-aime/,direct partnership outreach,france,diet prepared meals,https://www.commejaime.fr/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Comme J'aime.,"Requires live domain, analytics, and user approval before sending"
62,Cook it,/go/cook-it/,/reviews/cook-it/,direct partnership outreach,Canada,meal kit,https://www.chefcookit.com/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Cook it.,"Requires live domain, analytics, and user approval before sending"
63,Daily Dish,/go/daily-dish/,/reviews/daily-dish/,direct partnership outreach,south-africa,meal kit,https://www.facebook.com/dailydishforyou/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Daily Dish.,"Requires live domain, analytics, and user approval before sending"
64,Delicut,/go/delicut/,/reviews/delicut/,direct partnership outreach,uae,prepared meals,https://delicut.ae/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Delicut.,"Requires live domain, analytics, and user approval before sending"
65,Diet Center,/go/diet-center/,/reviews/diet-center/,direct partnership outreach,Saudi Arabia,diet prepared meals,https://dietcenter.com.sa/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Diet Center.,"Requires live domain, analytics, and user approval before sending"
66,Diet Hub Egypt,/go/diet-hub-egypt/,/reviews/diet-hub-egypt/,direct partnership outreach,Egypt,diet prepared meals,https://diethubegypt.com/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Diet Hub Egypt.,"Requires live domain, analytics, and user approval before sending"
67,Diet to Door Egypt,/go/diet-to-door-egypt/,/reviews/diet-to-door-egypt/,direct partnership outreach,Egypt,diet prepared meals,https://diettodoor.com/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Diet to Door Egypt.,"Requires live domain, analytics, and user approval before sending"
68,Dietbon,/go/dietbon/,/reviews/dietbon/,direct partnership outreach,france,diet prepared meals,https://www.dietbon.fr/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Dietbon.,"Requires live domain, analytics, and user approval before sending"
69,Dieture,/go/dieture/,/reviews/dieture/,direct partnership outreach,Qatar,diet prepared meals,https://www.dieture.com/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Dieture.,"Requires live domain, analytics, and user approval before sending"
70,DinDins,/go/dindins/,/reviews/dindins/,direct partnership outreach,spain,prepared meals,https://dindins.es/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to DinDins.,"Requires live domain, analytics, and user approval before sending"
71,Dinnerbox,/go/dinnerbox/,/reviews/dinnerbox/,direct partnership outreach,south-africa,meal kit,https://dinnerbox.co.za/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Dinnerbox.,"Requires live domain, analytics, and user approval before sending"
72,DinnerMates,/go/dinnermates/,/reviews/dinnermates/,direct partnership outreach,south-africa,meal kit,https://dinnermates.co.za/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to DinnerMates.,"Requires live domain, analytics, and user approval before sending"
73,Eatology,/go/eatology/,/reviews/eatology/,direct partnership outreach,hong-kong,prepared meals,https://www.eatologyasia.com/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Eatology.,"Requires live domain, analytics, and user approval before sending"
74,Eatology Hong Kong,/go/eatology-hong-kong/,/reviews/eatology-hong-kong/,direct partnership outreach,Hong Kong,diet prepared meals,https://www.eatologyasia.com/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Eatology Hong Kong.,"Requires live domain, analytics, and user approval before sending"
75,Eatsana,/go/eatsana/,/reviews/eatsana/,direct partnership outreach,spain,prepared meals,https://eatsana.es/en,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Eatsana.,"Requires live domain, analytics, and user approval before sending"
76,Eatto,/go/eatto/,/reviews/eatto/,direct partnership outreach,Ireland,frozen prepared meals,https://eatto.ie/,Dinner Compare is building country/category comparison pages for frozen prepared meals shoppers and can route high-intent buyers to Eatto.,"Requires live domain, analytics, and user approval before sending"
77,Epicured,/go/epicured/,/reviews/epicured/,direct partnership outreach,US,medical diet meals,https://www.epicured.com/,Dinner Compare is building country/category comparison pages for medical diet meals shoppers and can route high-intent buyers to Epicured.,"Requires live domain, analytics, and user approval before sending"
78,every,/go/every/,/reviews/every/,direct partnership outreach,germany,frozen plant-based meals,https://every-foods.com/en,Dinner Compare is building country/category comparison pages for frozen plant-based meals shoppers and can route high-intent buyers to every.,"Requires live domain, analytics, and user approval before sending"
79,Fed,/go/fed/,/reviews/fed/,direct partnership outreach,Canada | New Zealand,prepared meals,https://www.fed.co.nz/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Fed.,"Requires live domain, analytics, and user approval before sending"
80,Fit Food Way,/go/fit-food-way/,/reviews/fit-food-way/,direct partnership outreach,Romania,diet prepared meals,https://fitfoodway.ro/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Fit Food Way.,"Requires live domain, analytics, and user approval before sending"
81,Fit Panther,/go/fit-panther/,/reviews/fit-panther/,direct partnership outreach,Bulgaria,diet prepared meals,https://fitpanther.bg/en/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to Fit Panther.,"Requires live domain, analytics, and user approval before sending"
82,Fit2go Thailand,/go/fit2go-thailand/,/reviews/fit2go-thailand/,direct partnership outreach,Thailand,high protein meal prep,https://fit2gothailand.com/,Dinner Compare is building country/category comparison pages for high protein meal prep shoppers and can route high-intent buyers to Fit2go Thailand.,"Requires live domain, analytics, and user approval before sending"
83,FitFood Chile,/go/fitfood-chile/,/reviews/fitfood-chile/,direct partnership outreach,Chile,diet prepared meals,https://fitfood.cl/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to FitFood Chile.,"Requires live domain, analytics, and user approval before sending"
84,FitFood Manila,/go/fitfood-manila/,/reviews/fitfood-manila/,direct partnership outreach,Philippines,diet prepared meals,https://fitfoodmanila.com/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to FitFood Manila.,"Requires live domain, analytics, and user approval before sending"
85,Fitfood NZ,/go/fitfood-nz/,/reviews/fitfood-nz/,direct partnership outreach,New Zealand,prepared meals,https://www.fitfood.co.nz/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Fitfood NZ.,"Requires live domain, analytics, and user approval before sending"
86,Fitmeals,/go/fitmeals/,/reviews/fitmeals/,direct partnership outreach,india,meal prep,https://www.fitmeals.co.in/,Dinner Compare is building country/category comparison pages for meal prep shoppers and can route high-intent buyers to Fitmeals.,"Requires live domain, analytics, and user approval before sending"
87,Fittery,/go/fittery/,/reviews/fittery/,direct partnership outreach,hong-kong,prepared meals,https://www.instagram.com/fitteryhk/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Fittery.,"Requires live domain, analytics, and user approval before sending"
88,FlexPro Meals,/go/flexpro-meals/,/reviews/flexpro-meals/,direct partnership outreach,US,fitness prepared meals,https://www.flexpromeals.com/,Dinner Compare is building country/category comparison pages for fitness prepared meals shoppers and can route high-intent buyers to FlexPro Meals.,"Requires live domain, analytics, and user approval before sending"
89,Food Revolution Hungary,/go/food-revolution-hungary/,/reviews/food-revolution-hungary/,direct partnership outreach,Hungary,prepared meals,https://foodrevo.hu/en/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Food Revolution Hungary.,"Requires live domain, analytics, and user approval before sending"
90,Foorban,/go/foorban/,/reviews/foorban/,direct partnership outreach,italy,prepared meals,https://www.foorban.com/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to Foorban.,"Requires live domain, analytics, and user approval before sending"
91,Fresh Meal Prep Nigeria,/go/fresh-meal-prep-nigeria/,/reviews/fresh-meal-prep-nigeria/,direct partnership outreach,Nigeria,high protein meal prep,https://thefreshmealprep.com/,Dinner Compare is building country/category comparison pages for high protein meal prep shoppers and can route high-intent buyers to Fresh Meal Prep Nigeria.,"Requires live domain, analytics, and user approval before sending"
92,Fresheasy,/go/fresheasy/,/reviews/fresheasy/,direct partnership outreach,South Korea,meal kit,https://www.fresheasy.co.kr/,Dinner Compare is building country/category comparison pages for meal kit shoppers and can route high-intent buyers to Fresheasy.,"Requires live domain, analytics, and user approval before sending"
93,FreshMenu,/go/freshmenu/,/reviews/freshmenu/,direct partnership outreach,India,prepared meals,https://play.google.com/store/apps/details?id=com.freshmenu,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to FreshMenu.,"Requires live domain, analytics, and user approval before sending"
94,Frizata,/go/frizata/,/reviews/frizata/,direct partnership outreach,Argentina,frozen prepared meals,https://www.frizata.com/,Dinner Compare is building country/category comparison pages for frozen prepared meals shoppers and can route high-intent buyers to Frizata.,"Requires live domain, analytics, and user approval before sending"
95,Frosta,/go/frosta/,/reviews/frosta/,direct partnership outreach,germany,frozen meals,https://www.frosta.de/,Dinner Compare is building country/category comparison pages for frozen meals shoppers and can route high-intent buyers to Frosta.,"Requires live domain, analytics, and user approval before sending"
96,Fuel Hub,/go/fuel-hub/,/reviews/fuel-hub/,direct partnership outreach,UK,high protein prepared meals,https://fuelhub.co.uk/,Dinner Compare is building country/category comparison pages for high protein prepared meals shoppers and can route high-intent buyers to Fuel Hub.,"Requires live domain, analytics, and user approval before sending"
97,Fuel Meals Vietnam,/go/fuel-meals-vietnam/,/reviews/fuel-meals-vietnam/,direct partnership outreach,Vietnam,high protein meal prep,https://fuelmealsvn.com/,Dinner Compare is building country/category comparison pages for high protein meal prep shoppers and can route high-intent buyers to Fuel Meals Vietnam.,"Requires live domain, analytics, and user approval before sending"
98,Fuel-Up by Kcal,/go/fuel-up-by-kcal/,/reviews/fuel-up-by-kcal/,direct partnership outreach,uae,high protein meal prep,https://fuel-up.ae/,Dinner Compare is building country/category comparison pages for high protein meal prep shoppers and can route high-intent buyers to Fuel-Up by Kcal.,"Requires live domain, analytics, and user approval before sending"
99,FuelMe,/go/fuelme/,/reviews/fuelme/,direct partnership outreach,finland,prepared meals,https://fuelme.fi/,Dinner Compare is building country/category comparison pages for prepared meals shoppers and can route high-intent buyers to FuelMe.,"Requires live domain, analytics, and user approval before sending"
100,getUP!,/go/getup/,/reviews/getup/,direct partnership outreach,Peru,diet prepared meals,https://getup.com.pe/,Dinner Compare is building country/category comparison pages for diet prepared meals shoppers and can route high-intent buyers to getUP!.,"Requires live domain, analytics, and user approval before sending"
